date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm;;;
10/01/2026;10000;120;2000;179;136;6;5;84,9;100;;;68
09/01/2026;10000;120;2000;182;138;6;7;85,8;100;;;69
08/01/2026;10000;120;2000;185;140;6;10;86,6;100;;;70
07/01/2026;10000;120;2000;187;142;8;2;87,3;100;;;71
06/01/2026;10000;120;2000;190;144;7;9;87,9;100;;;72
05/01/2026;10000;120;2000;193;146;6;7;88,5;100;;;73
04/01/2026;10000;120;2000;195;148;8;7;89;100;;;74
03/01/2026;10000;120;2000;198;150;9;2;89,4;100;;;75
02/01/2026;10000;120;2000;201;152;8;7;89,7;100;;;76
01/01/2026;10000;120;2000;203;154;8;1;89,9;100;;;77
31/12/2025;10000;120;2000;206;156;6;3;90;100;;;78
30/12/2025;10000;120;2000;208;158;8;4;90;100;;;79
29/12/2025;10000;120;2000;211;160;6;9;89,9;100;;;80
28/12/2025;10000;120;2000;214;162;7;3;89,7;100;;;81
27/12/2025;10000;120;2000;216;164;6;7;89,4;100;;;82
26/12/2025;10000;120;2000;219;166;6;6;89;100;;;83
25/12/2025;10000;120;2000;222;168;6;8;88,5;100;;;84
24/12/2025;10000;120;2000;224;170;8;10;88;100;;;85
23/12/2025;10000;120;2000;227;172;9;10;87,3;100;;;86
22/12/2025;10000;120;2000;230;174;8;8;86,6;100;;;87
21/12/2025;10000;120;2000;232;176;6;5;85,8;100;;;88
20/12/2025;10000;120;2000;235;178;7;4;85;100;;;89
19/12/2025;10000;120;2000;238;180;8;10;84,1;100;;;90
18/12/2025;10000;120;2000;240;182;9;3;83,2;100;;;91
17/12/2025;10000;120;2000;243;184;6;7;82,2;100;;;92
16/12/2025;10000;120;2000;245;186;9;7;81,2;100;;;93
15/12/2025;10000;120;2000;248;188;8;3;80,2;100;;;94
14/12/2025;10000;120;2000;251;190;6;6;79,2;100;;;95
13/12/2025;10000;120;2000;253;192;7;9;78,3;100;;;96
12/12/2025;10000;120;2000;256;194;9;3;77,3;100;;;97
11/12/2025;10000;120;2000;259;196;7;7;76,3;100;;;98
10/12/2025;10000;120;2000;261;198;8;8;75,4;100;;;99
09/12/2025;10000;120;2000;264;200;10;1;74,6;100;;;100
08/12/2025;10000;120;2000;267;202;9;8;73,7;90;;;101
07/12/2025;10000;120;2000;269;204;8;7;73;90;;;102
06/12/2025;10000;120;2000;272;206;7;8;72,3;90;;;103
05/12/2025;10000;120;2000;274;208;10;8;71,7;90;;;104
04/12/2025;10000;120;2000;277;210;7;2;71,2;90;;;105
03/12/2025;10000;120;2000;280;212;8;4;70,8;90;;;106
02/12/2025;10000;120;2000;282;214;10;8;70,4;90;;;107
01/12/2025;10000;120;2000;285;216;9;8;70,2;90;;;108
30/11/2025;10000;120;2000;288;218;7;2;70;90;;;109
29/11/2025;10000;120;2000;290;220;9;3;70;90;;;110
28/11/2025;10000;120;2000;293;222;8;1;70,1;90;;;111
27/11/2025;10000;120;2000;296;224;6;2;70,2;90;;;112
26/11/2025;10000;120;2000;298;226;7;4;70,5;90;;;113
25/11/2025;10000;120;2000;301;228;8;3;70,8;90;;;114
24/11/2025;10000;120;2000;303;230;9;4;71,2;90;;;115
23/11/2025;10000;120;2000;306;232;6;3;71,8;90;;;116
22/11/2025;10000;120;2000;309;234;9;7;72,4;90;;;117
21/11/2025;10000;120;2000;311;236;8;6;73,1;90;;;118
20/11/2025;10000;120;2000;314;238;6;7;73,8;90;;;119
19/11/2025;10000;120;2000;317;240;7;1;74,6;90;;;120
18/11/2025;10000;120;2000;319;242;9;5;75,5;90;;;121
17/11/2025;10000;120;2000;322;244;7;10;76,4;90;;;122
16/11/2025;10000;120;2000;325;246;8;9;77,4;90;;;123
15/11/2025;10000;120;2000;327;248;10;4;78,3;90;;;124
14/11/2025;10000;120;2000;330;250;9;4;79,3;90;;;125
13/11/2025;10000;120;2000;333;252;8;7;80,3;90;;;126
12/11/2025;10000;120;2000;335;254;7;10;81,3;90;;;127
11/11/2025;10000;120;2000;338;256;10;1;82,3;90;;;128
10/11/2025;10000;120;2000;340;258;7;3;83,3;90;;;129
09/11/2025;10000;120;2000;343;260;8;6;84,2;90;;;130
08/11/2025;10000;120;2000;346;262;10;2;85,1;90;;;131
07/11/2025;10000;120;2000;348;264;9;3;85,9;90;;;132
06/11/2025;10000;80;2000;351;266;7;1;86,7;90;;;133
05/11/2025;10000;80;2000;354;268;9;1;87,4;90;;;134
04/11/2025;10000;80;2000;356;270;8;10;88;90;;;135
03/11/2025;10000;80;2000;359;272;6;4;88,6;90;;;136
02/11/2025;10000;80;2000;362;274;7;2;89,1;90;;;137
01/11/2025;10000;80;2000;364;276;8;1;89,4;90;;;138
31/10/2025;10000;80;2000;367;278;9;6;89,7;90;;;139
30/10/2025;10000;80;2000;369;280;6;3;89,9;90;;;140
29/10/2025;10000;80;2000;372;282;9;8;90;90;;;141
28/10/2025;10000;80;2000;375;284;8;5;90;90;;;142
27/10/2025;10000;80;2000;377;286;6;4;89,9;90;;;143
26/10/2025;10000;80;2000;380;288;7;5;89,7;90;;;144
25/10/2025;10000;80;2000;383;290;9;7;89,3;90;;;145
24/10/2025;10000;80;2000;385;292;7;10;88,9;90;;;146
23/10/2025;10000;80;2000;388;294;8;10;88,5;90;;;147
22/10/2025;10000;80;2000;391;296;10;5;87,9;90;;;148
21/10/2025;10000;80;2000;393;298;9;6;87,2;90;;;149
20/10/2025;10000;80;2000;396;300;8;8;86,5;90;;;150
19/10/2025;10000;80;2000;398;302;7;2;85,7;90;;;151
18/10/2025;10000;80;2000;401;304;10;1;84,9;90;;;152
17/10/2025;10000;80;2000;404;306;7;4;84;90;;;153
16/10/2025;10000;80;2000;406;308;8;2;83;90;;;154
15/10/2025;10000;80;2000;409;310;10;5;82,1;90;;;155
14/10/2025;10000;80;2000;412;312;9;9;81,1;90;;;156
13/10/2025;10000;80;2000;414;314;7;6;80,1;90;;;157
12/10/2025;10000;80;2000;417;316;9;1;79,1;90;;;158
11/10/2025;10000;80;2000;420;318;8;3;78,1;90;;;159
10/10/2025;10000;80;2000;422;320;6;6;77,1;90;;;160
09/10/2025;10000;80;2000;425;322;7;4;76,2;90;;;161
08/10/2025;10000;80;2000;427;324;8;8;75,3;90;;;162
07/10/2025;10000;80;2000;430;326;9;8;74,4;90;;;163
06/10/2025;10000;80;2000;433;328;6;10;73,6;90;;;164
05/10/2025;10000;80;2000;435;330;9;3;72,9;90;;;165
04/10/2025;10000;80;2000;438;332;8;6;72,2;90;;;166
03/10/2025;10000;80;2000;441;334;6;3;71,6;90;;;167
02/10/2025;10000;80;2000;443;336;7;8;71,1;90;;;168
01/10/2025;10000;80;2000;446;338;9;6;70,7;90;;;169
30/09/2025;10000;80;2000;449;340;7;10;70,4;90;;;170
29/09/2025;10000;80;2000;451;342;8;10;70,2;90;;;171
28/09/2025;10000;80;2000;454;344;10;7;70;90;;;172
27/09/2025;10000;80;2000;457;346;9;4;70;90;;;173
26/09/2025;10000;80;2000;459;348;8;7;70,1;90;;;174
25/09/2025;10000;80;2000;462;350;7;3;70,2;90;;;175
24/09/2025;10000;80;2000;464;352;10;1;70,5;90;;;176
23/09/2025;10000;80;2000;467;354;7;1;70,9;90;;;177
22/09/2025;10000;80;2000;470;356;8;5;71,3;90;;;178
21/09/2025;10000;80;2000;472;358;10;4;71,9;90;;;179
20/09/2025;10000;80;2000;475;360;9;5;72,5;90;;;180
19/09/2025;10000;80;2000;478;362;7;2;73,2;90;;;181
18/09/2025;10000;80;2000;480;364;9;6;74;90;;;182
17/09/2025;10000;80;2000;483;366;8;2;74,8;90;;;183
16/09/2025;10000;80;2000;486;368;6;3;75,7;90;;;184
15/09/2025;10000;80;2000;488;370;7;8;76,6;90;;;185
14/09/2025;10000;80;2000;491;372;8;9;77,5;90;;;186
13/09/2025;10000;80;2000;493;374;9;2;78,5;90;;;187
12/09/2025;10000;80;2000;496;376;6;6;79,5;90;;;188
11/09/2025;10000;80;2000;499;378;9;7;80,5;90;;;189
10/09/2025;10000;80;2000;501;380;8;3;81,5;90;;;190
09/09/2025;10000;80;2000;504;382;6;2;82,5;90;;;191
08/09/2025;10000;80;2000;507;384;7;5;83,4;90;;;192
07/09/2025;10000;80;2000;509;386;9;6;84,4;90;;;193
06/09/2025;10000;80;2000;512;388;7;1;85,2;90;;;194
05/09/2025;10000;80;2000;515;390;8;4;86,1;90;;;195
04/09/2025;10000;80;2000;517;392;10;4;86,8;90;;;196
03/09/2025;10000;80;2000;520;394;9;3;87,5;90;;;197
02/09/2025;10000;80;2000;522;396;8;1;88,1;90;;;198
01/09/2025;10000;80;2000;525;398;7;3;88,7;90;;;199
31/08/2025;10000;160;2000;528;0;10;4;89,1;100;;;200
30/08/2025;10000;160;2000;530;2;7;6;89,5;100;;;201
29/08/2025;10000;160;2000;533;4;8;10;89,8;100;;;202
28/08/2025;10000;160;2000;536;6;10;4;89,9;100;;;203
27/08/2025;10000;160;2000;538;8;9;2;90;100;;;204
26/08/2025;10000;160;2000;541;10;7;4;90;100;;;205
25/08/2025;10000;160;2000;544;12;9;10;89,8;100;;;206
24/08/2025;10000;160;2000;546;14;8;7;89,6;100;;;207
23/08/2025;10000;160;2000;549;16;6;4;89,3;100;;;208
22/08/2025;10000;160;2000;552;18;7;4;88,9;100;;;209
21/08/2025;10000;160;2000;554;20;8;7;88,4;100;;;210
20/08/2025;10000;160;2000;557;22;9;10;87,8;100;;;211
19/08/2025;10000;160;2000;559;24;6;7;87,1;100;;;212
18/08/2025;10000;160;2000;562;26;9;5;86,4;100;;;213
17/08/2025;10000;160;2000;565;28;8;5;85,6;100;;;214
16/08/2025;10000;160;2000;567;30;6;10;84,7;100;;;215
15/08/2025;10000;160;2000;570;32;7;9;83,8;100;;;216
14/08/2025;10000;160;2000;573;34;9;2;82,9;100;;;217
13/08/2025;10000;160;2000;575;36;7;5;81,9;100;;;218
12/08/2025;10000;160;2000;578;38;8;6;80,9;100;;;219
11/08/2025;10000;160;2000;581;40;10;10;79,9;100;;;220
10/08/2025;10000;160;2000;583;42;9;4;78,9;100;;;221
09/08/2025;10000;160;2000;586;44;8;10;77,9;100;;;222
08/08/2025;10000;160;2000;588;46;7;4;77;100;;;223
07/08/2025;10000;160;2000;591;48;10;4;76;100;;;224
06/08/2025;10000;160;2000;594;50;7;5;75,1;100;;;225
05/08/2025;10000;160;2000;596;52;8;7;74,3;100;;;226
04/08/2025;10000;160;2000;599;54;10;6;73,5;100;;;227
03/08/2025;10000;160;2000;602;56;9;3;72,8;100;;;228
02/08/2025;10000;160;2000;604;58;7;10;72,1;100;;;229
01/08/2025;10000;160;2000;607;60;9;3;71,5;100;;;230
31/07/2025;10000;160;2000;610;62;8;9;71;100;;;231
30/07/2025;10000;160;2000;612;64;6;7;70,6;100;;;232
29/07/2025;10000;160;2000;615;66;7;6;70,3;100;;;233
28/07/2025;10000;160;2000;617;68;8;8;70,1;100;;;234
27/07/2025;10000;160;2000;620;70;9;3;70;100;;;235
26/07/2025;10000;160;2000;623;72;6;4;70;100;;;236
25/07/2025;10000;160;2000;625;74;9;7;70,1;100;;;237
24/07/2025;10000;160;2000;628;76;8;1;70,3;100;;;238
23/07/2025;10000;160;2000;631;78;6;10;70,6;100;;;239
22/07/2025;10000;160;2000;633;80;7;1;70,9;100;;;240
21/07/2025;10000;160;2000;636;82;9;3;71,4;100;;;241
20/07/2025;10000;160;2000;639;84;7;6;72;100;;;242
19/07/2025;10000;160;2000;641;86;8;7;72,6;100;;;243
18/07/2025;10000;160;2000;644;88;10;8;73,3;100;;;244
17/07/2025;10000;160;2000;646;90;9;3;74,1;100;;;245
16/07/2025;10000;160;2000;649;92;8;5;74,9;100;;;246
15/07/2025;10000;160;2000;652;94;7;8;75,8;100;;;247
14/07/2025;10000;160;2000;654;96;10;3;76,7;100;;;248
13/07/2025;10000;160;2000;657;98;7;6;77,7;100;;;249
12/07/2025;10000;160;2000;660;100;8;3;78,7;100;;;250
11/07/2025;10000;160;2000;662;102;10;6;79,7;100;;;251
10/07/2025;10000;160;2000;665;104;9;2;80,7;100;;;252
09/07/2025;10000;160;2000;668;106;7;9;81,7;100;;;253
08/07/2025;10000;160;2000;670;108;9;4;82,6;100;;;254
07/07/2025;10000;160;2000;673;110;8;4;83,6;100;;;255
06/07/2025;10000;160;2000;676;112;6;3;84,5;100;;;256
05/07/2025;10000;160;2000;678;114;7;3;85,4;100;;;257
04/07/2025;10000;160;2000;681;116;8;10;86,2;100;;;258
03/07/2025;10000;160;2000;683;118;9;3;86,9;100;;;259
02/07/2025;10000;160;2000;686;120;6;9;87,6;100;;;260
01/07/2025;10000;160;2000;689;122;9;9;88,2;100;;;261
30/06/2025;10000;160;2000;691;124;8;6;88,8;100;;;262
29/06/2025;10000;160;2000;694;126;6;6;89,2;100;;;263
28/06/2025;10000;160;2000;697;128;7;4;89,5;100;;;264
27/06/2025;10000;160;2000;699;130;9;3;89,8;100;;;265
26/06/2025;10000;160;2000;702;132;7;9;89,9;100;;;266
25/06/2025;10000;120;2000;705;134;8;7;90;100;;;267
24/06/2025;10000;120;2000;707;136;10;3;90;100;;;268
23/06/2025;10000;120;2000;710;138;9;3;89,8;100;;;269
22/06/2025;10000;120;2000;712;140;8;7;89,6;100;;;270
21/06/2025;10000;120;2000;715;142;7;6;89,2;100;;;271
20/06/2025;10000;120;2000;718;144;10;4;88,8;100;;;272
19/06/2025;10000;120;2000;720;146;7;5;88,3;100;;;273
18/06/2025;10000;120;2000;723;148;8;5;87,7;100;;;274
17/06/2025;10000;120;2000;726;150;10;4;87;100;;;275
16/06/2025;10000;120;2000;728;152;9;5;86,2;100;;;276
15/06/2025;10000;120;2000;731;154;7;2;85,4;100;;;277
14/06/2025;10000;120;2000;734;156;9;4;84,6;100;;;278
13/06/2025;10000;120;2000;736;158;8;1;83,7;100;;;279
12/06/2025;10000;120;2000;739;160;6;7;82,7;100;;;280
11/06/2025;10000;120;2000;741;162;7;6;81,7;100;;;281
10/06/2025;10000;120;2000;744;164;8;10;80,7;100;;;282
09/06/2025;10000;120;2000;747;166;9;7;79,7;100;;;283
08/06/2025;10000;120;2000;749;168;6;1;78,7;100;;;284
07/06/2025;10000;120;2000;752;170;9;10;77,8;100;;;285
06/06/2025;10000;120;2000;755;172;8;8;76,8;100;;;286
05/06/2025;10000;120;2000;757;174;6;1;75,9;100;;;287
04/06/2025;10000;120;2000;760;176;7;5;75;100;;;288
03/06/2025;10000;120;2000;763;178;9;6;74,1;100;;;289
02/06/2025;10000;120;2000;765;180;7;5;73,4;100;;;290
01/06/2025;10000;120;2000;768;182;8;8;72,7;100;;;291
31/05/2025;10000;120;2000;770;184;10;3;72;100;;;292
30/05/2025;10000;120;2000;773;186;9;3;71,4;100;;;293
29/05/2025;10000;120;2000;776;188;8;5;71;100;;;294
28/05/2025;10000;120;2000;778;190;7;9;70,6;100;;;295
27/05/2025;10000;120;2000;781;192;10;5;70,3;100;;;296
26/05/2025;10000;120;2000;784;194;7;7;70,1;100;;;297
25/05/2025;10000;120;2000;786;196;8;10;70;100;;;298
24/05/2025;10000;120;2000;789;198;10;5;70;100;;;299
23/05/2025;10000;120;2000;792;200;9;2;70,1;100;;;300
22/05/2025;10000;120;2000;794;202;7;8;70,3;90;;;301
21/05/2025;10000;120;2000;797;204;9;5;70,6;90;;;302
20/05/2025;10000;120;2000;800;206;8;6;71;90;;;303
19/05/2025;10000;120;2000;802;208;6;4;71,5;90;;;304
18/05/2025;10000;120;2000;805;210;7;4;72,1;90;;;305
17/05/2025;10000;120;2000;807;212;8;7;72,7;90;;;306
16/05/2025;10000;120;2000;810;214;9;3;73,4;90;;;307
15/05/2025;10000;120;2000;813;216;6;3;74,2;90;;;308
14/05/2025;10000;120;2000;815;218;9;7;75,1;90;;;309
13/05/2025;10000;120;2000;818;220;8;2;76;90;;;310
12/05/2025;10000;120;2000;821;222;6;5;76,9;90;;;311
11/05/2025;10000;120;2000;823;224;7;8;77,9;90;;;312
10/05/2025;10000;120;2000;826;226;9;2;78,8;90;;;313
09/05/2025;10000;120;2000;829;228;7;9;79,8;90;;;314
08/05/2025;10000;120;2000;831;230;8;4;80,8;90;;;315
07/05/2025;10000;120;2000;834;232;10;7;81,8;90;;;316
06/05/2025;10000;120;2000;836;234;9;4;82,8;90;;;317
05/05/2025;10000;120;2000;839;236;8;1;83,7;90;;;318
04/05/2025;10000;120;2000;842;238;7;9;84,7;90;;;319
03/05/2025;10000;120;2000;844;240;10;4;85,5;90;;;320
02/05/2025;10000;120;2000;847;242;7;3;86,3;90;;;321
01/05/2025;10000;120;2000;850;244;8;7;87,1;90;;;322
30/04/2025;10000;120;2000;852;246;10;5;87,7;90;;;323
29/04/2025;10000;120;2000;855;248;9;5;88,3;90;;;324
28/04/2025;10000;120;2000;858;250;7;9;88,8;90;;;325
27/04/2025;10000;120;2000;860;252;9;5;89,3;90;;;326
26/04/2025;10000;120;2000;863;254;8;8;89,6;90;;;327
25/04/2025;10000;120;2000;865;256;6;3;89,8;90;;;328
24/04/2025;10000;120;2000;868;258;7;3;90;90;;;329
23/04/2025;10000;120;2000;871;260;8;9;90;90;;;330
22/04/2025;10000;120;2000;873;262;9;2;89,9;90;;;331
21/04/2025;10000;120;2000;876;264;6;2;89,8;90;;;332
20/04/2025;10000;80;2000;879;266;9;7;89,5;90;;;333
19/04/2025;10000;80;2000;881;268;8;7;89,2;90;;;334
18/04/2025;10000;80;2000;884;270;6;8;88,7;90;;;335
17/04/2025;10000;80;2000;887;272;7;5;88,2;90;;;336
16/04/2025;10000;80;2000;889;274;9;4;87,6;90;;;337
15/04/2025;10000;80;2000;892;276;7;1;86,9;90;;;338
14/04/2025;10000;80;2000;895;278;8;9;86,1;90;;;339
13/04/2025;10000;80;2000;897;280;10;6;85,3;90;;;340
12/04/2025;10000;80;2000;900;282;9;8;84,4;90;;;341
11/04/2025;10000;80;2000;902;284;8;5;83,5;90;;;342
10/04/2025;10000;80;2000;905;286;7;9;82,5;90;;;343
09/04/2025;10000;80;2000;908;288;10;6;81,6;90;;;344
08/04/2025;10000;80;2000;910;290;7;7;80,6;90;;;345
07/04/2025;10000;80;2000;913;292;8;8;79,6;90;;;346
06/04/2025;10000;80;2000;916;294;10;10;78,6;90;;;347
05/04/2025;10000;80;2000;918;296;9;10;77,6;90;;;348
04/04/2025;10000;80;2000;921;298;7;10;76,6;90;;;349
03/04/2025;10000;80;2000;924;300;9;5;75,7;90;;;350
02/04/2025;10000;80;2000;926;302;8;5;74,8;90;;;351
01/04/2025;10000;80;2000;929;304;6;3;74;90;;;352
31/03/2025;10000;80;2000;931;306;7;1;73,2;90;;;353
30/03/2025;10000;80;2000;934;308;8;5;72,5;90;;;354
29/03/2025;10000;80;2000;937;310;9;10;71,9;90;;;355
28/03/2025;10000;80;2000;939;312;6;2;71,4;90;;;356
27/03/2025;10000;80;2000;942;314;9;2;70,9;90;;;357
26/03/2025;10000;80;2000;945;316;8;6;70,5;90;;;358
25/03/2025;10000;80;2000;947;318;6;1;70,3;90;;;359
24/03/2025;10000;80;2000;950;320;7;3;70,1;90;;;360
23/03/2025;10000;80;2000;953;322;9;7;70;90;;;361
22/03/2025;10000;80;2000;955;324;7;6;70;90;;;362
21/03/2025;10000;80;2000;958;326;8;5;70,1;90;;;363
20/03/2025;10000;80;2000;960;328;10;1;70,4;90;;;364
19/03/2025;10000;80;2000;963;330;9;4;70,7;90;;;365
18/03/2025;10000;80;2000;966;332;8;9;71,1;90;;;366
17/03/2025;10000;80;2000;968;334;7;4;71,6;90;;;367
16/03/2025;10000;80;2000;971;336;10;10;72,2;90;;;368
15/03/2025;10000;80;2000;974;338;7;4;72,8;90;;;369
14/03/2025;10000;80;2000;976;340;8;3;73,6;90;;;370
13/03/2025;10000;80;2000;979;342;10;9;74,4;90;;;371
12/03/2025;10000;80;2000;982;344;9;4;75,2;90;;;372
11/03/2025;10000;80;2000;984;346;7;10;76,1;90;;;373
10/03/2025;10000;80;2000;987;348;9;7;77,1;90;;;374
09/03/2025;10000;80;2000;989;350;8;10;78;90;;;375
08/03/2025;10000;80;2000;992;352;6;4;79;90;;;376
07/03/2025;10000;80;2000;995;354;7;9;80;90;;;377
06/03/2025;10000;80;2000;997;356;8;3;81;90;;;378
05/03/2025;10000;80;2000;1000;358;9;6;82;90;;;379
04/03/2025;5000;80;2000;997;360;6;3;83;90;;;380
03/03/2025;5000;80;2000;995;362;9;3;83,9;90;;;381
02/03/2025;5000;80;2000;992;364;8;7;84,8;90;;;382
01/03/2025;5000;80;2000;989;366;6;4;85,7;90;;;383
28/02/2025;5000;80;2000;987;368;7;2;86,4;90;;;384
27/02/2025;5000;80;2000;984;370;9;3;87,2;90;;;385
26/02/2025;5000;80;2000;982;372;7;8;87,8;90;;;386
25/02/2025;5000;80;2000;979;374;8;5;88,4;90;;;387
24/02/2025;5000;80;2000;976;376;10;4;88,9;90;;;388
23/02/2025;5000;80;2000;974;378;9;3;89,3;90;;;389
22/02/2025;5000;80;2000;971;380;8;9;89,6;90;;;390
21/02/2025;5000;80;2000;968;382;7;9;89,9;90;;;391
20/02/2025;5000;80;2000;966;384;10;3;90;90;;;392
19/02/2025;5000;80;2000;963;386;7;8;90;90;;;393
18/02/2025;5000;80;2000;960;388;8;5;89,9;90;;;394
17/02/2025;5000;80;2000;958;390;10;10;89,7;90;;;395
16/02/2025;5000;80;2000;955;392;9;6;89,5;90;;;396
15/02/2025;5000;80;2000;953;394;7;8;89,1;90;;;397
14/02/2025;5000;80;2000;950;396;9;7;88,6;90;;;398
13/02/2025;5000;80;2000;947;398;8;1;88,1;90;;;399
12/02/2025;5000;160;2000;945;0;6;8;87,5;100;;;400
11/02/2025;5000;160;2000;942;2;7;5;86,7;100;;;401
10/02/2025;5000;160;2000;939;4;8;3;86;100;;;402
09/02/2025;5000;160;2000;937;6;9;7;85,1;100;;;403
08/02/2025;5000;160;2000;934;8;6;3;84,3;100;;;404
07/02/2025;5000;160;2000;931;10;9;2;83,3;100;;;405
06/02/2025;5000;160;2000;929;12;8;5;82,4;100;;;406
05/02/2025;5000;160;2000;926;14;6;5;81,4;100;;;407
04/02/2025;5000;160;2000;924;16;7;9;80,4;100;;;408
03/02/2025;5000;160;2000;921;18;9;8;79,4;100;;;409
02/02/2025;5000;160;2000;918;20;7;3;78,4;100;;;410
01/02/2025;5000;160;2000;916;22;8;4;77,4;100;;;411
31/01/2025;5000;160;2000;913;24;10;2;76,5;100;;;412
30/01/2025;5000;160;2000;910;26;9;8;75,6;100;;;413
29/01/2025;5000;160;2000;908;28;8;10;74,7;100;;;414
28/01/2025;5000;160;2000;905;30;7;7;73,9;100;;;415
27/01/2025;5000;160;2000;902;32;10;9;73,1;100;;;416
26/01/2025;5000;160;2000;900;34;7;8;72,4;100;;;417
25/01/2025;5000;160;2000;897;36;8;4;71,8;100;;;418
24/01/2025;5000;160;2000;895;38;10;5;71,3;100;;;419
23/01/2025;5000;160;2000;892;40;9;5;70,8;100;;;420
22/01/2025;5000;160;2000;889;42;7;8;70,5;100;;;421
21/01/2025;5000;160;2000;887;44;9;10;70,2;100;;;422
20/01/2025;5000;160;2000;884;46;8;6;70,1;100;;;423
